"AppID","Name","Release.date","Price","Supported.languages","Full.audio.languages","Windows","Mac","Linux","Metacritic.score","User.score","Positive","Negative","Average.playtime.forever","Developers","Publishers","Categories"
"Journey of Seasons: Heroes","Sep 25, 2024",NA,20,"['English']","[]","True","False","False",0,0,1,0,0,"Kuro Neko Game Studio","Kuro Neko Game Studio","Single-player,Family Sharing"
"HAPPY SAIN† SHEOL","Sep 17, 2024",NA,10,"['English', 'Japanese', 'Korean', 'Simplified Chinese']","[]","True","True","True",0,0,44,12,0,"122pxsheol","Sekai Project","Single-player,Family Sharing"
"An Everyday Story","Sep 25, 2024",NA,10,"['English', 'Italian', 'French', 'German', 'Spanish - Spain', 'Turkish', 'Polish']","['English', 'Polish']","True","False","True",0,0,5,0,0,"Cactus Production","Cactus Production","Single-player,Full controller support,Captions available,Family Sharing"
"click frenzy","Sep 17, 2024",NA,33,"['English']","[]","True","False","False",0,0,0,0,0,"bulbafan","bulbafangames","Single-player,Family Sharing"
"Super Pixeria","Sep 26, 2024",NA,30,"['English']","['English']","True","False","False",0,0,0,0,0,"Grant Bruns","Gruntioli Studios","Single-player,Steam Achievements,Family Sharing"
"Illegal Simulator","Sep 28, 2024",NA,40,"['English', 'Turkish', 'French', 'Italian', 'German', 'Spanish - Spain', 'Portuguese - Brazil', 'Danish', 'Dutch', 'Finnish', 'Spanish - Latin America', 'Polish', 'Norwegian', 'Portuguese - Portugal', 'Romanian', 'Vietnamese', 'Czech', 'Swedish']","[]","True","False","False",0,0,0,0,0,"Lost Nexus Studio","Lost Nexus","Single-player,Multi-player,Co-op,Online Co-op,Family Sharing"
"Cuckold Sex - Episode 5","Sep 18, 2024",NA,20,"['English']","[]","True","True","True",0,0,0,0,0,"EroticGamesClub","EroticGamesClub","Single-player,Steam Achievements,Steam Leaderboards,Family Sharing"
"100 hidden Cats : Kitty House","Sep 26, 2024",NA,10,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Bulgarian', 'Traditional Chinese', 'Simplified Chinese', 'Czech', 'Danish', 'Finnish', 'Greek', 'Spanish - Latin America', 'Dutch', 'Indonesian', 'Japanese', 'Korean', 'Norwegian', 'Polish', 'Portuguese - Portugal', 'Portuguese - Brazil', 'Russian', 'Romanian', 'Swedish', 'Thai', 'Turkish', 'Ukrainian', 'Vietnamese', 'Hungarian']","[]","True","False","True",0,0,0,0,0,"FM Simple Games Studio,Sons of Welder","FM Simple Games Studio,Sons of Welder","Single-player,Steam Achievements,Family Sharing"
"HSS:Reload","Sep 20, 2024",NA,20,"['English', 'French', 'German', 'Spanish - Spain', 'Russian', 'Japanese', 'Simplified Chinese', 'Traditional Chinese', 'Portuguese - Brazil', 'Portuguese - Portugal', 'Spanish - Latin America', 'Korean']","[]","True","False","False",0,0,99,17,0,"SmokingBear Studio","SmokingBear Studio","Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing"
"Rhythm of lust","Sep 26, 2024",NA,25,"['English', 'French', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Portuguese - Portugal', 'Russian', 'Simplified Chinese', 'Traditional Chinese', 'Ukrainian', 'Vietnamese']","['Japanese', 'Vietnamese']","True","False","False",0,0,0,0,0,"Nyankofeti","Nyankofeti","Single-player,Family Sharing"
"THE REDSTONE JOB","Sep 26, 2024",NA,10,"['English', 'Simplified Chinese']","[]","True","False","False",0,0,0,0,0,"光光","光光","Single-player,Family Sharing"
"深空七号 Deep Space 7","Sep 26, 2024",NA,30,"['English', 'Simplified Chinese']","[]","True","False","False",0,0,7,2,0,"JT Studio","JT Studio","Single-player,Partial Controller Support,Family Sharing"
"Coin-Op Vice","Sep 26, 2024",NA,10,"['English', 'Russian', 'Ukrainian', 'French', 'Italian', 'German', 'Spanish - Spain', 'Portuguese - Portugal', 'Portuguese - Brazil', 'Spanish - Latin America']","[]","True","False","False",0,0,7,0,0,"Andrei Fomin","Andrei Fomin","Single-player,Steam Achievements,Full controller support,Steam Leaderboards,Family Sharing"
"Agent Mirai and the Submission Machines","Sep 19, 2024",NA,10,"['Japanese', 'English', 'Simplified Chinese', 'Traditional Chinese', 'Korean']","[]","True","False","False",0,0,0,0,0,"Mediocre Umaaji Lady II","Mango Party,Mango Party News","Single-player,Family Sharing"
"Baby Blues Nightmares - Toddler Horror Game","Sep 16, 2024",NA,15,"['English']","['English']","True","False","False",0,0,65,6,0,"Steelkrill Studio","Steelkrill Studio","Single-player,Multi-player,Family Sharing"
"Caution Ahead: Part 1","Sep 20, 2024",NA,15,"['English']","['English']","True","False","False",0,0,11,0,0,"Ionic Relay","Ionic Relay","Single-player,Family Sharing"
"DGGWare","Sep 19, 2024",NA,15,"['English']","['English']","True","False","False",0,0,49,1,0,"Silkworm","destiny.gg LLC","Single-player,Steam Achievements,Steam Leaderboards,Family Sharing"
"Pocket Waifu Rekindled","Sep 26, 2024",NA,10,"['English']","[]","True","False","False",0,0,0,0,0,"JNT Games","JNT Games","Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing"
"Magic Cauldron - Dungeons","Sep 26, 2024",NA,10,"['English', 'German', 'French', 'Italian', 'Spanish - Spain']","[]","True","True","False",0,0,2,0,0,"Manuel Schenk Games","Prevain","Single-player,Partial Controller Support,Family Sharing"
"Unicopia","Sep 27, 2024",NA,20,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Simplified Chinese']","[]","True","True","True",0,0,0,0,0,"Squeaky Pig Studios","Squeaky Pig Studios","Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing"
"Silent Still","Sep 19, 2024",NA,10,"['English']","[]","True","False","False",0,0,8,7,0,"SolitaryStudios","SolitaryStudios","Single-player,Family Sharing"
"Dustborn","Aug 20, 2024",NA,30,"['English', 'French', 'German', 'Spanish - Spain', 'Russian', 'Norwegian', 'Simplified Chinese', 'Italian', 'Portuguese - Brazil', 'Japanese', 'Polish']","['English', 'Polish']","True","False","False",67,0,164,70,0,"Red Thread Games","Spotlight by Quantic Dream","Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing"
"Chicken Strike®: Cluck Ops™","Sep 24, 2024",NA,40,"['English', 'German', 'Spanish - Spain', 'Japanese', 'Russian', 'Simplified Chinese', 'Turkish']","['English', 'Turkish']","True","False","False",0,0,4,0,0,"Bamboléo Games","Bamboléo Games","Single-player,Multi-player,Co-op,Steam Achievements,Steam Leaderboards,Family Sharing"
"Wizard Blaster","Sep 7, 2024",NA,10,"['English', 'French', 'German', 'Spanish - Spain', 'Russian', 'Italian', 'Arabic', 'Bulgarian', 'Danish', 'Finnish', 'Simplified Chinese', 'Greek', 'Dutch', 'Indonesian', 'Japanese', 'Korean', 'Norwegian', 'Polish', 'Portuguese - Brazil', 'Portuguese - Portugal', 'Romanian', 'Spanish - Latin America', 'Swedish', 'Thai', 'Czech', 'Traditional Chinese', 'Turkish', 'Ukrainian', 'Hungarian', 'Vietnamese', 'Afrikaans', 'Albanian', 'Amharic', 'Armenian', 'Azerbaijani', 'Assamese', 'Basque', 'Belarusian', 'Bangla', 'Bosnian', 'Catalan', 'Cherokee', 'Dari', 'Estonian', 'Filipino', 'Galician', 'Georgian', 'Gujarati', 'Hausa', 'Hebrew', 'Hindi', 'Igbo', 'Irish', 'Icelandic', K'iche', 'Kannada', 'Kazakh', 'Khmer', 'Kinyarwanda', 'Kyrgyz', 'Konkani', 'Croatian', 'Latvian', 'Luxembourgish', 'Lithuanian', 'Macedonian', 'Malay', 'Malayalam', 'Maltese', 'Maori', 'Marathi', 'Mongolian', 'Nepali', 'Odia', 'Persian', 'Punjabi (Gurmukhi)', 'Punjabi (Shahmukhi)', 'Quechua', 'Serbian', 'Sindhi', 'Sinhala', 'Scots', 'Slovak', 'Slovenian', 'Sorani', 'Sotho', 'Swahili', 'Tajik', 'Tamil', 'Tatar', 'Telugu', 'Tigrinya', 'Tswana', 'Turkmen', 'Urdu', 'Uzbek', 'Uyghur', 'Valencian', 'Welsh', 'Wolof', 'Xhosa', 'Yoruba', 'Zulu']","['English', 'Zulu']","True","False","False",0,0,0,0,0,"Goodline Games","Goodline Games","Single-player,Full controller support,Family Sharing"
"Beyond Galaxyland","Sep 24, 2024",NA,20,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese']","[]","True","False","False",0,0,0,0,0,"Sam Enright","United Label","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Family Sharing"
"RECORD_DrowsyVortex","Sep 19, 2024",NA,15,"['Traditional Chinese']","[]","True","False","False",0,0,0,0,0,"LunarHillz","LunarHillz","Single-player,Steam Achievements,Steam Cloud,Family Sharing"
"PeakPals","Aug 16, 2024",NA,20,"['English', 'French', 'German', 'Spanish - Spain', 'Japanese', 'Russian', 'Simplified Chinese', 'Slovak', 'Korean', 'Czech']","['English', 'Simplified Chinese', 'Slovak', 'Czech']","True","False","False",0,0,7,2,0,"Kyrsoft Studios","Kyrsoft Studios","Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Steam Achievements,Captions available,Steam Cloud,Family Sharing"
"Witchfire","Sep 23, 2024",NA,10,"['English']","['English']","True","False","False",0,0,975,103,11,"The Astronauts","The Astronauts","Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing"
"Rebellion: Rise of the Damned","Sep 16, 2024",NA,15,"['English']","[]","True","True","True",0,0,0,0,0,"AGHAMUS","AGHAMUS","Single-player,Family Sharing"
"Baseball Club","Sep 26, 2024",NA,15,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Danish', 'Dutch', 'Finnish', 'Japanese', 'Korean', 'Norwegian', 'Polish', 'Portuguese - Brazil', 'Portuguese - Portugal', 'Russian', 'Simplified Chinese', 'Swedish', 'Traditional Chinese', 'Turkish']","[]","True","True","False",0,0,0,0,0,"BoomBit","BoomBit","Single-player,Full controller support,Steam Cloud,Family Sharing"
"Hagalegacy","Sep 26, 2024",NA,40,"['Japanese']","[]","True","False","False",0,0,0,0,0,"サンバルがんばる","Hitox,ADVANCETec","Single-player,Full controller support,Family Sharing"
"#DRIVE Rally","Sep 25, 2024",NA,10,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Czech', 'Hungarian', 'Japanese', 'Korean', 'Polish', 'Portuguese - Portugal', 'Russian', 'Simplified Chinese', 'Turkish', 'Ukrainian']","['English', 'Ukrainian']","True","True","True",0,0,83,11,0,"Pixel Perfect Dude","Pixel Perfect Dude","Single-player,Steam Achievements,Full controller support,Stats,Steam Leaderboards,Family Sharing"
"Rainbow Sea","Sep 19, 2024",NA,10,"['Japanese', 'English', 'Traditional Chinese', 'Korean', 'Simplified Chinese']","[]","True","True","False",0,0,5,1,0,"Shirokurohitsuji","G-MODE","Single-player,Steam Achievements,Partial Controller Support,Family Sharing"
"Flowstone Saga","Sep 26, 2024",NA,20,"['English', 'Japanese', 'Simplified Chinese']","[]","True","True","True",0,0,73,3,0,"Impact Gameworks","Impact Gameworks,Doyoyo Games","Single-player,Multi-player,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Cloud,Stats,Remote Play Together,Family Sharing"
"Evo Born","Sep 25, 2024",NA,10,"['English']","['English']","True","False","False",0,0,0,0,0,"Thisisdemo","Thisisdemo","Single-player,Family Sharing"
"Lyndaria: Lust Adventure","Sep 20, 2024",NA,15,"['English', 'Russian', 'French', 'Italian', 'German', 'Spanish - Spain', 'Polish', 'Turkish', 'Portuguese - Brazil']","[]","True","False","False",0,0,0,0,669,"Lustration Team","TopHouse Publishing","Single-player,Steam Achievements,Family Sharing"
"Circus Challenge","Sep 23, 2024",NA,15,"['English', 'French', 'German', 'Spanish - Spain', 'Spanish - Latin America', 'Japanese', 'Portuguese - Brazil', 'Portuguese - Portugal', 'Simplified Chinese', 'Italian', 'Korean', 'Russian']","[]","True","False","False",0,0,0,0,0,"Angel Torres","Angel Torres","Single-player,Steam Achievements,Full controller support,Steam Leaderboards,Family Sharing"
"Sexy Memory Puzzle - Gloryhole Girls","Sep 22, 2024",NA,20,"['English']","[]","True","True","True",0,0,0,0,0,"EroticGamesClub","EroticGamesClub","Single-player,Steam Achievements,Steam Leaderboards,Family Sharing"
"Doner Master Simulator","Sep 23, 2024",NA,20,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Portuguese - Brazil', 'Spanish - Latin America', 'Polish', 'Portuguese - Portugal', 'Russian', 'Turkish']","['English', 'Turkish']","True","False","False",0,0,0,2,0,"Fika Game Studio","Fika Game Studio","Single-player,Steam Achievements,HDR available,Family Sharing"
"Apartment 606","Sep 24, 2024",NA,20,"['English']","['English']","True","False","False",0,0,0,0,0,"Studio Vorago Inc.","Studio Vorago Inc.","Single-player,Steam Achievements,Steam Cloud,Family Sharing"
"Sunset Hills","Aug 20, 2024",NA,10,"['Simplified Chinese', 'English', 'Traditional Chinese']","[]","True","True","False",0,0,230,217,44,"Cotton Game","Cotton Game,Asmik Ace, Inc.","Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing"
"Parking Garage Rally Circuit","Sep 20, 2024",NA,15,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Dutch', 'Japanese', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Traditional Chinese', 'Korean', 'Portuguese - Brazil']","['English', 'Portuguese - Brazil']","True","False","True",0,0,323,5,0,"Walaber Entertainment LLC","Walaber Entertainment LLC","Single-player,Multi-player,PvP,Online PvP,Steam Achievements,Full controller support,Steam Cloud,Stats,Steam Leaderboards,Family Sharing"
"Arena of the Titans","Sep 24, 2024",NA,35,"['English']","[]","True","False","False",0,0,0,0,0,"Fghani Karam","Fghani Karam","Single-player,Family Sharing"
"The Tome of All Tales","Sep 23, 2024",NA,10,"['English']","[]","True","False","False",0,0,7,0,0,"Agar","Agar","Single-player,Steam Leaderboards,Family Sharing"
"Asistle","Sep 23, 2024",NA,10,"['English']","[]","True","False","False",0,0,0,0,0,"TheRoadOut","TheRoadOut","Single-player,Family Sharing"
"The Green Wizard Gnome","Sep 26, 2024",NA,10,"['English']","[]","True","False","False",0,0,0,0,0,"Mobicone","Mobicone","Single-player,Family Sharing"
"Pawsome Hidden Cats - Kittynawa","Sep 23, 2024",NA,15,"['English', 'Greek']","['English', 'Greek']","True","False","False",0,0,28,0,0,"Gemcraft Games,Horny Tales","Gemcraft Games","Single-player,Steam Achievements,Family Sharing"
"The Neighbor - Escape Room","Sep 20, 2024",NA,25,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Portuguese - Brazil', 'Simplified Chinese', 'Korean', 'Japanese', 'Traditional Chinese', 'Russian']","['English', 'Russian']","True","False","False",0,0,5,1,0,"B Rain Logic Labs","B Rain Logic Labs","Single-player,Steam Achievements,Full controller support,Family Sharing"
"Ikode: Legacy of the Elements","Sep 25, 2024",NA,25,"['English']","['English']","True","False","False",0,0,0,0,0,"E.F. Studios","E.F. Studios","Single-player,Full controller support,Family Sharing"
"Number Tower","Sep 18, 2024",NA,15,"['English']","[]","True","False","False",0,0,0,0,0,"acl_dev","acl_dev","Single-player,Steam Achievements,Family Sharing"
